lat,lon,fecha_actual,mes_pronostico,valor,variable
-34.0,-63.0,2025-12-01,6,50.98,precipitacion_acumulada
-34.0,-62.0,2025-12-01,1,100.73,precipitacion_acumulada
-34.0,-62.0,2025-12-01,2,93.26,precipitacion_acumulada
-34.0,-62.0,2025-12-01,3,114.93,precipitacion_acumulada
-34.0,-62.0,2025-12-01,4,98.95,precipitacion_acumulada
-34.0,-62.0,2025-12-01,5,86.79,precipitacion_acumulada
-34.0,-62.0,2025-12-01,6,59.78,precipitacion_acumulada
-34.0,-61.0,2025-12-01,1,103.1,precipitacion_acumulada
-34.0,-61.0,2025-12-01,2,90.34,precipitacion_acumulada
-34.0,-61.0,2025-12-01,3,118.13,precipitacion_acumulada
-34.0,-61.0,2025-12-01,4,101.13,precipitacion_acumulada
-34.0,-61.0,2025-12-01,5,94.63,precipitacion_acumulada
-34.0,-61.0,2025-12-01,6,68.67,precipitacion_acumulada
-34.0,-60.0,2025-12-01,1,97.82,precipitacion_acumulada
-34.0,-60.0,2025-12-01,2,89.71,precipitacion_acumulada
-34.0,-60.0,2025-12-01,3,119.11,precipitacion_acumulada
-34.0,-60.0,2025-12-01,4,100.54,precipitacion_acumulada
-34.0,-60.0,2025-12-01,5,101.92,precipitacion_acumulada
-34.0,-60.0,2025-12-01,6,77.4,precipitacion_acumulada
-34.0,-59.0,2025-12-01,1,95.38,precipitacion_acumulada
-34.0,-59.0,2025-12-01,2,88.05,precipitacion_acumulada
-34.0,-59.0,2025-12-01,3,109.23,precipitacion_acumulada
-34.0,-59.0,2025-12-01,4,99.9,precipitacion_acumulada
-34.0,-59.0,2025-12-01,5,103.77,precipitacion_acumulada
-34.0,-59.0,2025-12-01,6,85.12,precipitacion_acumulada
-34.0,-58.0,2025-12-01,1,93.56,precipitacion_acumulada
-34.0,-58.0,2025-12-01,2,91.82,precipitacion_acumulada
-34.0,-58.0,2025-12-01,3,104.52,precipitacion_acumulada
-34.0,-58.0,2025-12-01,4,106.74,precipitacion_acumulada
-34.0,-58.0,2025-12-01,5,104.8,precipitacion_acumulada
-34.0,-58.0,2025-12-01,6,92.27,precipitacion_acumulada
-34.0,-57.0,2025-12-01,1,92.9,precipitacion_acumulada
-34.0,-57.0,2025-12-01,2,93.23,precipitacion_acumulada
-34.0,-57.0,2025-12-01,3,104.62,precipitacion_acumulada
-34.0,-57.0,2025-12-01,4,109.86,precipitacion_acumulada
-34.0,-57.0,2025-12-01,5,107.36,precipitacion_acumulada
-34.0,-57.0,2025-12-01,6,95.23,precipitacion_acumulada
-34.0,-56.0,2025-12-01,1,89.05,precipitacion_acumulada
-34.0,-56.0,2025-12-01,2,92.19,precipitacion_acumulada
-34.0,-56.0,2025-12-01,3,106.18,precipitacion_acumulada
-34.0,-56.0,2025-12-01,4,109.7,precipitacion_acumulada
-34.0,-56.0,2025-12-01,5,101.83,precipitacion_acumulada
-34.0,-56.0,2025-12-01,6,98.25,precipitacion_acumulada
-33.0,-65.0,2025-12-01,1,129.94,precipitacion_acumulada
-33.0,-65.0,2025-12-01,2,102.07,precipitacion_acumulada
-33.0,-65.0,2025-12-01,3,117.13,precipitacion_acumulada
-33.0,-65.0,2025-12-01,4,89.52,precipitacion_acumulada
-33.0,-65.0,2025-12-01,5,65.36,precipitacion_acumulada
-33.0,-65.0,2025-12-01,6,40.88,precipitacion_acumulada
-33.0,-64.0,2025-12-01,1,120.69,precipitacion_acumulada
-33.0,-64.0,2025-12-01,2,100.06,precipitacion_acumulada
-33.0,-64.0,2025-12-01,3,119.39,precipitacion_acumulada
-33.0,-64.0,2025-12-01,4,93.87,precipitacion_acumulada
-33.0,-64.0,2025-12-01,5,72.27,precipitacion_acumulada
-33.0,-64.0,2025-12-01,6,44.34,precipitacion_acumulada
-33.0,-63.0,2025-12-01,1,109.73,precipitacion_acumulada
-33.0,-63.0,2025-12-01,2,87.73,precipitacion_acumulada
-33.0,-63.0,2025-12-01,3,116.0,precipitacion_acumulada
-33.0,-63.0,2025-12-01,4,97.07,precipitacion_acumulada
-33.0,-63.0,2025-12-01,5,80.52,precipitacion_acumulada
-33.0,-63.0,2025-12-01,6,51.14,precipitacion_acumulada
-33.0,-62.0,2025-12-01,1,112.84,precipitacion_acumulada
-33.0,-62.0,2025-12-01,2,89.9,precipitacion_acumulada
-33.0,-62.0,2025-12-01,3,117.95,precipitacion_acumulada
-33.0,-62.0,2025-12-01,4,102.69,precipitacion_acumulada
-33.0,-62.0,2025-12-01,5,87.41,precipitacion_acumulada
-33.0,-62.0,2025-12-01,6,60.07,precipitacion_acumulada
-33.0,-61.0,2025-12-01,1,110.8,precipitacion_acumulada
-33.0,-61.0,2025-12-01,2,91.89,precipitacion_acumulada
-33.0,-61.0,2025-12-01,3,118.19,precipitacion_acumulada
-33.0,-61.0,2025-12-01,4,107.78,precipitacion_acumulada
-33.0,-61.0,2025-12-01,5,98.31,precipitacion_acumulada
-33.0,-61.0,2025-12-01,6,72.22,precipitacion_acumulada
-33.0,-60.0,2025-12-01,1,105.44,precipitacion_acumulada
-33.0,-60.0,2025-12-01,2,91.28,precipitacion_acumulada
-33.0,-60.0,2025-12-01,3,119.19,precipitacion_acumulada
-33.0,-60.0,2025-12-01,4,107.21,precipitacion_acumulada
-33.0,-60.0,2025-12-01,5,105.67,precipitacion_acumulada
-33.0,-60.0,2025-12-01,6,81.04,precipitacion_acumulada
-33.0,-59.0,2025-12-01,1,98.61,precipitacion_acumulada
-33.0,-59.0,2025-12-01,2,96.83,precipitacion_acumulada
-33.0,-59.0,2025-12-01,3,120.08,precipitacion_acumulada
-33.0,-59.0,2025-12-01,4,110.9,precipitacion_acumulada
-33.0,-59.0,2025-12-01,5,108.29,precipitacion_acumulada
-33.0,-59.0,2025-12-01,6,90.44,precipitacion_acumulada
-33.0,-58.0,2025-12-01,1,96.76,precipitacion_acumulada
-33.0,-58.0,2025-12-01,2,100.66,precipitacion_acumulada
-33.0,-58.0,2025-12-01,3,115.33,precipitacion_acumulada
-33.0,-58.0,2025-12-01,4,117.8,precipitacion_acumulada
-33.0,-58.0,2025-12-01,5,109.35,precipitacion_acumulada
-33.0,-58.0,2025-12-01,6,97.72,precipitacion_acumulada
-33.0,-57.0,2025-12-01,1,97.24,precipitacion_acumulada
-33.0,-57.0,2025-12-01,2,107.27,precipitacion_acumulada
-33.0,-57.0,2025-12-01,3,115.74,precipitacion_acumulada
-33.0,-57.0,2025-12-01,4,120.2,precipitacion_acumulada
-33.0,-57.0,2025-12-01,5,108.06,precipitacion_acumulada
-33.0,-57.0,2025-12-01,6,108.09,precipitacion_acumulada
-33.0,-56.0,2025-12-01,1,93.38,precipitacion_acumulada
-33.0,-56.0,2025-12-01,2,106.24,precipitacion_acumulada
-33.0,-56.0,2025-12-01,3,117.3,precipitacion_acumulada
-33.0,-56.0,2025-12-01,4,120.01,precipitacion_acumulada
-33.0,-56.0,2025-12-01,5,102.47,precipitacion_acumulada
-33.0,-56.0,2025-12-01,6,111.13,precipitacion_acumulada
-32.0,-65.0,2025-12-01,1,123.4,precipitacion_acumulada
-32.0,-65.0,2025-12-01,2,97.63,precipitacion_acumulada
-32.0,-65.0,2025-12-01,3,108.95,precipitacion_acumulada
-32.0,-65.0,2025-12-01,4,84.34,precipitacion_acumulada
-32.0,-65.0,2025-12-01,5,60.23,precipitacion_acumulada
-32.0,-65.0,2025-12-01,6,38.27,precipitacion_acumulada
-32.0,-64.0,2025-12-01,1,131.1,precipitacion_acumulada
-32.0,-64.0,2025-12-01,2,102.65,precipitacion_acumulada
-32.0,-64.0,2025-12-01,3,119.25,precipitacion_acumulada
-32.0,-64.0,2025-12-01,4,93.66,precipitacion_acumulada
-32.0,-64.0,2025-12-01,5,68.97,precipitacion_acumulada
-32.0,-64.0,2025-12-01,6,43.96,precipitacion_acumulada
-32.0,-63.0,2025-12-01,1,119.96,precipitacion_acumulada
-32.0,-63.0,2025-12-01,2,90.1,precipitacion_acumulada
-32.0,-63.0,2025-12-01,3,115.75,precipitacion_acumulada
-32.0,-63.0,2025-12-01,4,96.87,precipitacion_acumulada
-32.0,-63.0,2025-12-01,5,77.31,precipitacion_acumulada
-32.0,-63.0,2025-12-01,6,50.81,precipitacion_acumulada
-32.0,-62.0,2025-12-01,1,119.77,precipitacion_acumulada
-32.0,-62.0,2025-12-01,2,90.55,precipitacion_acumulada
-32.0,-62.0,2025-12-01,3,120.89,precipitacion_acumulada
-32.0,-62.0,2025-12-01,4,107.51,precipitacion_acumulada
-32.0,-62.0,2025-12-01,5,96.46,precipitacion_acumulada
-32.0,-62.0,2025-12-01,6,66.17,precipitacion_acumulada
-32.0,-61.0,2025-12-01,1,117.67,precipitacion_acumulada
-32.0,-61.0,2025-12-01,2,92.55,precipitacion_acumulada
-32.0,-61.0,2025-12-01,3,121.12,precipitacion_acumulada
-32.0,-61.0,2025-12-01,4,112.65,precipitacion_acumulada
-32.0,-61.0,2025-12-01,5,107.45,precipitacion_acumulada
